"Story","Title","Result","Date","Stability","Duration (s)"
"Menu categoria","Ingresar a una Categoría","SUCCESS","2021-01-27T12:29:49.3894077-03:00[America/Buenos_Aires]","0.0","19.9"
"Menu categoria","Ingresar a una Subcategoría","SUCCESS","2021-01-27T12:30:10.2306802-03:00[America/Buenos_Aires]","0.0","17.27"
